"id","invoice_id","subject_id","schedule_id","closing_date","tax_state","amount","tax","discount","ratio","adjust_amount","fraction","bill_amount","orderNo","memo","status","created_at","updated_at"
"8753","6905","1021","1209","2022-12-20","2","36000","3600","0","40.00","0","0.00","36000","15",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 14:59:35"
"8754","6905","1022","1293","2022-12-20","2","36000","3600","0","40.00","0","0.00","36000","16",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 14:59:35"
"8755","6905","1025","1287","2022-12-20","2","36000","3600","0","40.00","0","0.00","36000","17",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 14:59:35"
"8756","6905","1035","1271","2022-12-20","2","44000","4400","0","40.00","0","0.00","44000","18",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 14:59:35"
"8757","6905","1038","1265","2022-12-20","2","36000","3600","0","40.00","0","0.00","36000","19",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 14:59:35"
"8758","6905","1082","1347","2022-12-20","2","36000","3600","0","40.00","0","0.00","36000","20",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 14:59:35"
"8759","6905","1085","1341","2022-12-20","2","36000","3600","0","40.00","0","0.00","36000","21",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 14:59:35"
"8760","6905","1086","1339","2022-12-20","2","44000","4400","0","40.00","0","0.00","44000","22",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 14:59:35"
"8761","6906","1016","1202","2022-11-30","2","420000","42000","0","60.00","0","0.00","420000","1",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 15:12:17"
"8762","6906","1044","1252","2022-11-30","2","588000","58800","0","60.00","0","0.00","588000","2",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 15:12:17"
"8763","6906","1066","1305","2022-11-30","2","5880000","588000","0","60.00","0","0.00","5880000","3",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 15:12:17"
"8764","6907","1016","1203","2022-12-31","2","280000","28000","0","40.00","0","0.00","280000","1",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 15:38:14"
"8765","6908","1076","1327","2022-12-20","2","240000","24000","0","60.00","0","0.00","240000","1",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 15:16:45"
"8776","6915","1040","1260","2022-12-20","2","108000","10800","0","60.00","0","0.00","108000","1","aaa","000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 23:55:09"
"8777","6915","1040","1261","2022-12-20","2","72000","7200","0","40.00","0","0.00","72000","2",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 16:24:14"
